c_date,option_symbol,dte,stocks_id,expiration_date,call_put,price_strike,price_open,price_high,price_low,price,volume,openinterest,iv,delta,preiv,gamma,theta,vega,rho,Ask,Bid,underlying_price,calc_OTM,option_id
2024-10-04 00:00:00.0,1UCG 241004C00000320000A.XMIL,0,19123,2024-10-04 00:00:00.0,C,32.0,0.0,0.0,0.0,0.001,0,0,-1.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.001,0.001,38.82,-17.57,
2024-10-04 00:00:00.0,1UCG 241004C00000325000A.XMIL,0,19123,2024-10-04 00:00:00.0,C,32.5,0.0,0.0,0.0,0.001,0,0,-1.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.001,0.001,38.82,-16.28,
2024-10-04 00:00:00.0,1UCG 241004C00000330000A.XMIL,0,19123,2024-10-04 00:00:00.0,C,33.0,0.0,0.0,0.0,0.001,0,0,-1.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.001,0.001,38.82,-14.99,
2024-10-04 00:00:00.0,1UCG 241004C00000335000A.XMIL,0,19123,2024-10-04 00:00:00.0,C,33.5,0.0,0.0,0.0,0.001,0,0,-1.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.001,0.001,38.82,-13.7,
2024-10-04 00:00:00.0,1UCG 241004C00000340000A.XMIL,0,19123,2024-10-04 00:00:00.0,C,34.0,0.0,0.0,0.0,0.001,0,0,-1.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.001,0.001,38.82,-12.42,
2024-10-04 00:00:00.0,1UCG 241004C00000345000A.XMIL,0,19123,2024-10-04 00:00:00.0,C,34.5,0.0,0.0,0.0,0.001,0,0,-1.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.001,0.001,38.82,-11.13,
2024-10-04 00:00:00.0,1UCG 241004C00000350000A.XMIL,0,19123,2024-10-04 00:00:00.0,C,35.0,0.0,0.0,0.0,0.001,0,0,-1.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.001,0.001,38.82,-9.84,
2024-10-04 00:00:00.0,1UCG 241004C00000355000A.XMIL,0,19123,2024-10-04 00:00:00.0,C,35.5,0.0,0.0,0.0,0.001,0,0,-1.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.001,0.001,38.82,-8.55,
2024-10-04 00:00:00.0,1UCG 241004C00000360000A.XMIL,0,19123,2024-10-04 00:00:00.0,C,36.0,0.0,0.0,0.0,0.001,0,0,-1.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.001,0.001,38.82,-7.26,
2024-10-04 00:00:00.0,1UCG 241004C00000365000A.XMIL,0,19123,2024-10-04 00:00:00.0,C,36.5,0.0,0.0,0.0,0.001,0,0,-1.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.001,0.001,38.82,-5.98,
2024-10-04 00:00:00.0,1UCG 241004C00000370000A.XMIL,0,19123,2024-10-04 00:00:00.0,C,37.0,0.0,0.0,0.0,0.001,0,0,-1.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.001,0.001,38.82,-4.69,
2024-10-04 00:00:00.0,1UCG 241004C00000375000A.XMIL,0,19123,2024-10-04 00:00:00.0,C,37.5,0.0,0.0,0.0,0.001,0,0,-1.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.001,0.001,38.82,-3.4,
2024-10-04 00:00:00.0,1UCG 241004C00000380000A.XMIL,0,19123,2024-10-04 00:00:00.0,C,38.0,0.0,0.0,0.0,0.001,0,0,-1.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.001,0.001,38.82,-2.11,
2024-10-04 00:00:00.0,1UCG 241004C00000385000A.XMIL,0,19123,2024-10-04 00:00:00.0,C,38.5,0.0,0.0,0.0,0.001,0,0,-1.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.001,0.001,38.82,-0.82,
2024-10-04 00:00:00.0,1UCG 241004C00000390000A.XMIL,0,19123,2024-10-04 00:00:00.0,C,39.0,0.0,0.0,0.0,0.001,0,0,-1.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.001,0.001,38.82,0.46,
2024-10-04 00:00:00.0,1UCG 241004C00000395000A.XMIL,0,19123,2024-10-04 00:00:00.0,C,39.5,0.0,0.0,0.0,0.001,0,0,-1.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.001,0.001,38.82,1.75,
2024-10-04 00:00:00.0,1UCG 241004C00000400000A.XMIL,0,19123,2024-10-04 00:00:00.0,C,40.0,0.0,0.0,0.0,0.001,0,0,-1.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.001,0.001,38.82,3.04,
2024-10-04 00:00:00.0,1UCG 241004C00000410000A.XMIL,0,19123,2024-10-04 00:00:00.0,C,41.0,0.0,0.0,0.0,0.001,0,0,-1.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.001,0.001,38.82,5.62,
2024-10-04 00:00:00.0,1UCG 241004C00000420000A.XMIL,0,19123,2024-10-04 00:00:00.0,C,42.0,0.0,0.0,0.0,0.001,0,0,-1.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.001,0.001,38.82,8.19,
2024-10-04 00:00:00.0,1UCG 241004C00000430000A.XMIL,0,19123,2024-10-04 00:00:00.0,C,43.0,0.0,0.0,0.0,0.001,0,0,-1.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.001,0.001,38.82,10.77,
2024-10-04 00:00:00.0,1UCG 241004C00000440000A.XMIL,0,19123,2024-10-04 00:00:00.0,C,44.0,0.0,0.0,0.0,0.001,0,0,-1.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.001,0.001,38.82,13.34,
2024-10-04 00:00:00.0,1UCG 241004C00000450000A.XMIL,0,19123,2024-10-04 00:00:00.0,C,45.0,0.0,0.0,0.0,0.001,0,0,-1.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.001,0.001,38.82,15.92,
2024-10-04 00:00:00.0,1UCG 241004C00000460000A.XMIL,0,19123,2024-10-04 00:00:00.0,C,46.0,0.0,0.0,0.0,0.001,0,0,-1.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.001,0.001,38.82,18.5,
2024-10-04 00:00:00.0,1UCG 241004C00000470000A.XMIL,0,19123,2024-10-04 00:00:00.0,C,47.0,0.0,0.0,0.0,0.001,0,0,-1.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.001,0.001,38.82,21.07,
2024-10-04 00:00:00.0,1UCG 241004C00000480000A.XMIL,0,19123,2024-10-04 00:00:00.0,C,48.0,0.0,0.0,0.0,0.001,0,0,-1.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.001,0.001,38.82,23.65,
2024-10-04 00:00:00.0,1UCG 241004C00000490000A.XMIL,0,19123,2024-10-04 00:00:00.0,C,49.0,0.0,0.0,0.0,0.001,0,0,-1.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.001,0.001,38.82,26.22,
2024-10-04 00:00:00.0,2UCG 241011C00000330000A.XMIL,7,19123,2024-10-11 00:00:00.0,C,33.0,0.0,0.0,0.0,5.8427,0,0,0.380686,0.999315,-1.0,0.001193,-0.00348,0.000125,0.005997,6.35,5.35,38.82,-14.99,
2024-10-04 00:00:00.0,2UCG 241011C00000335000A.XMIL,7,19123,2024-10-11 00:00:00.0,C,33.5,0.0,0.0,0.0,5.3435,0,0,0.380686,0.998181,-1.0,0.002918,-0.004039,0.000305,0.00608,5.8,4.84,38.82,-13.7,
2024-10-04 00:00:00.0,2UCG 241011C00000340000A.XMIL,7,19123,2024-10-11 00:00:00.0,C,34.0,0.0,0.0,0.0,4.845,0,0,0.380686,0.995597,-1.0,0.006476,-0.005141,0.000676,0.006152,5.3,4.42,38.82,-12.42,
2024-10-04 00:00:00.0,2UCG 241011C00000345000A.XMIL,7,19123,2024-10-11 00:00:00.0,C,34.5,0.0,0.0,0.0,4.3484,0,0,0.380686,0.990234,0.380686,0.013096,-0.007149,0.001367,0.006204,4.75,3.96,38.82,-11.13,
2024-10-04 00:00:00.0,2UCG 241011C00000350000A.XMIL,7,19123,2024-10-11 00:00:00.0,C,35.0,0.0,0.0,0.0,3.8553,0,0,0.374255,0.981667,0.374255,0.022942,-0.00988,0.002355,0.006233,4.21,3.51,38.82,-9.84,
2024-10-04 00:00:00.0,2UCG 241011C00000355000A.XMIL,7,19123,2024-10-11 00:00:00.0,C,35.5,0.0,0.0,0.0,3.3681,0,0,0.368903,0.966675,0.368903,0.038417,-0.01403,0.003887,0.006216,3.56,3.18,38.82,-8.55,
2024-10-04 00:00:00.0,2UCG 241011C00000360000A.XMIL,7,19123,2024-10-11 00:00:00.0,C,36.0,0.0,0.0,0.0,2.8888,0,0,0.360776,0.943727,0.360776,0.059952,-0.019307,0.005932,0.006141,3.07,2.69,38.82,-7.26,
2024-10-04 00:00:00.0,2UCG 241011C00000365000A.XMIL,7,19123,2024-10-11 00:00:00.0,C,36.5,0.0,0.0,0.0,2.4186,0,0,0.347489,0.911725,0.347489,0.087962,-0.025051,0.008383,0.006001,2.59,2.18,38.82,-5.98,
2024-10-04 00:00:00.0,2UCG 241011C00000370000A.XMIL,7,19123,2024-10-11 00:00:00.0,C,37.0,0.0,0.0,0.0,1.9588,0,0,0.328332,0.868743,0.328332,0.123854,-0.030573,0.011152,0.005781,2.11,1.76,38.82,-4.69,
2024-10-04 00:00:00.0,2UCG 241011C00000375000A.XMIL,7,19123,2024-10-11 00:00:00.0,C,37.5,0.0,0.0,0.0,1.5235,0,0,0.311434,0.804947,0.311434,0.169078,-0.036671,0.014441,0.005409,1.63,1.36,38.82,-3.4,
2024-10-04 00:00:00.0,2UCG 241011C00000380000A.XMIL,7,19123,2024-10-11 00:00:00.0,C,38.0,0.0,0.0,0.0,1.1265,0,0,0.297426,0.714932,0.297426,0.217992,-0.042333,0.017781,0.004846,1.21,1.01,38.82,-2.11,
2024-10-04 00:00:00.0,2UCG 241011C00000385000A.XMIL,7,19123,2024-10-11 00:00:00.0,C,38.5,0.42,0.42,0.42,0.7801,1,0,0.284706,0.599136,0.284706,0.259269,-0.045515,0.020244,0.004091,0.865,0.665,38.82,-0.82,
2024-10-04 00:00:00.0,2UCG 241011C00000390000A.XMIL,7,19123,2024-10-11 00:00:00.0,C,39.0,0.0,0.0,0.0,0.5081,0,0,0.278288,0.465063,0.278288,0.272694,-0.04526,0.020812,0.003193,0.6,0.4,38.82,0.46,
2024-10-04 00:00:00.0,2UCG 241011C00000395000A.XMIL,7,19123,2024-10-11 00:00:00.0,C,39.5,0.0,0.0,0.0,0.3084,0,0,0.274297,0.332226,0.274297,0.25279,-0.040457,0.019016,0.002291,0.405,0.205,38.82,1.75,
2024-10-04 00:00:00.0,2UCG 241011C00000400000A.XMIL,7,19123,2024-10-11 00:00:00.0,C,40.0,0.0,0.0,0.0,0.1859,0,0,0.279611,0.224136,0.279611,0.204372,-0.033792,0.015672,0.00155,0.275,0.089,38.82,3.04,
2024-10-04 00:00:00.0,2UCG 241011C00000410000A.XMIL,7,19123,2024-10-11 00:00:00.0,C,41.0,0.0,0.0,0.0,0.0595,0,0,0.289752,0.086577,0.289752,0.103971,-0.018333,0.008262,0.000601,0.117,0.0001,38.82,5.62,
2024-10-04 00:00:00.0,2UCG 241011C00000420000A.XMIL,7,19123,2024-10-11 00:00:00.0,C,42.0,0.0,0.0,0.0,0.0134,0,0,0.289548,0.023848,0.289548,0.037048,-0.006498,0.002942,0.000166,0.2,0.0001,38.82,8.19,
2024-10-04 00:00:00.0,2UCG 241011C00000430000A.XMIL,7,19123,2024-10-11 00:00:00.0,C,43.0,0.0,0.0,0.0,0.0023,0,0,0.289548,0.004905,-1.0,0.009374,-0.00164,0.000744,3.4e-05,0.2,0.0001,38.82,10.77,
2024-10-04 00:00:00.0,2UCG 241011C00000440000A.XMIL,7,19123,2024-10-11 00:00:00.0,C,44.0,0.0,0.0,0.0,0.0003,0,0,0.289548,0.000759,-1.0,0.001724,-0.000301,0.000137,5e-06,0.2,0.0001,38.82,13.34,
2024-10-04 00:00:00.0,2UCG 241011C00000450000A.XMIL,7,19123,2024-10-11 00:00:00.0,C,45.0,0.0,0.0,0.0,0.001,0,0,0.289548,9e-05,-1.0,0.000236,-4.1e-05,1.9e-05,1e-06,0.2,0.0001,38.82,15.92,
